Id,Sales
1,4971.64111328125
857,5103.05419921875
1713,5359.19580078125
2569,5814.7138671875
4281,4995.55224609375
5137,4293.416015625
5993,3833.272705078125
6849,3867.374755859375
7705,3812.20849609375
8561,4018.377685546875
10273,4995.55224609375
11129,4529.5390625
11985,4923.53271484375
12841,5290.06201171875
13697,5383.49951171875
14553,5985.68701171875
16265,4643.24951171875
17121,4206.99951171875
17977,3896.500244140625
18833,3877.76953125
19689,4188.3564453125
20545,5505.27197265625
22257,4643.24951171875
23113,4529.5390625
23969,4923.53271484375
24825,5290.06201171875
25681,5383.49951171875
26537,5985.68701171875
28249,4643.24951171875
29105,4206.99951171875
29961,3896.500244140625
30817,3877.76953125
31673,4188.3564453125
32529,5505.27197265625
34241,4643.24951171875
35097,4529.5390625
35953,4923.53271484375
36809,5290.06201171875
37665,5383.49951171875
38521,5985.68701171875
40233,4643.24951171875
2,7939.64794921875
858,8528.630859375
1714,9249.08984375
2570,10286.671875
4282,4467.984375
5138,6274.1328125
5994,5559.80419921875
6850,5505.955078125
7706,5509.19482421875
8562,5510.2919921875
10274,4467.984375
11130,8258.7841796875
11986,7939.64794921875
12842,8528.630859375
13698,9249.08984375
14554,10286.671875
16266,4467.984375
17122,6274.1328125
17978,5559.80419921875
18834,5505.955078125
19690,5509.19482421875
20546,5510.2919921875
22258,4467.984375
23114,8258.7841796875
23970,7939.64794921875
24826,8528.630859375
25682,9249.08984375
26538,10286.671875
28250,4467.984375
29106,6274.1328125
29962,5559.80419921875
30818,5505.955078125
31674,6118.76123046875
32530,7109.79931640625
34242,4467.984375
35098,7523.63720703125
35954,8205.712890625
36810,8523.712890625
37666,9490.4697265625
38522,9939.8837890625
40234,4467.984375
3,9029.0341796875
859,9107.6064453125
1715,11078.279296875
2571,12326.1953125
4283,6166.66357421875
5139,8316.556640625
5995,7344.65087890625
6851,7142.19091796875
7707,7864.978515625
8563,7992.56787109375
10275,6166.66357421875
11131,9727.30859375
11987,9029.0341796875
12843,9107.6064453125
13699,11078.279296875
14555,12326.1953125
16267,6166.66357421875
17123,9227.525390625
17979,7872.23046875
18835,7639.5
